episode_date,Weekday,audio_url,mysteries,title,publish_at
5/3/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-05-03 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-05-03T01:00:00-05:00
5/4/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-05-04 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-05-04T01:00:00-05:00
5/5/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-05-05 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-05-05T01:00:00-05:00
5/6/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-05-06 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-05-06T01:00:00-05:00
5/7/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-05-07 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-05-07T01:00:00-05:00
5/8/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-05-08 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-05-08T01:00:00-05:00
5/9/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-05-09 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-05-09T01:00:00-05:00
5/10/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-05-10 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-05-10T01:00:00-05:00
5/11/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-05-11 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-05-11T01:00:00-05:00
5/12/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-05-12 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-05-12T01:00:00-05:00
5/13/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-05-13 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-05-13T01:00:00-05:00
5/14/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-05-14 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-05-14T01:00:00-05:00
5/15/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-05-15 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-05-15T01:00:00-05:00
5/16/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-05-16 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-05-16T01:00:00-05:00
5/17/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-05-17 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-05-17T01:00:00-05:00
5/18/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-05-18 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-05-18T01:00:00-05:00
5/19/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-05-19 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-05-19T01:00:00-05:00
5/20/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-05-20 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-05-20T01:00:00-05:00
5/21/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-05-21 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-05-21T01:00:00-05:00
5/22/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-05-22 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-05-22T01:00:00-05:00
5/23/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-05-23 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-05-23T01:00:00-05:00
5/24/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-05-24 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-05-24T01:00:00-05:00
5/25/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-05-25 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-05-25T01:00:00-05:00
5/26/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-05-26 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-05-26T01:00:00-05:00
5/27/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-05-27 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-05-27T01:00:00-05:00
5/28/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-05-28 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-05-28T01:00:00-05:00
5/29/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-05-29 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-05-29T01:00:00-05:00
5/30/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-05-30 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-05-30T01:00:00-05:00
5/31/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-05-31 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-05-31T01:00:00-05:00
