episode_date,Weekday,audio_url,mysteries,title,publish_at
6/9/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-06-09 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-06-09T01:00:00-05:00
6/10/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-06-10 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-06-10T01:00:00-05:00
6/11/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-06-11 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-06-11T01:00:00-05:00
6/12/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-06-12 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-06-12T01:00:00-05:00
6/13/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-06-13 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-06-13T01:00:00-05:00
6/14/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-06-14 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-06-14T01:00:00-05:00
6/15/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-06-15 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-06-15T01:00:00-05:00
6/16/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-06-16 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-06-16T01:00:00-05:00
6/17/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-06-17 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-06-17T01:00:00-05:00
6/18/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-06-18 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-06-18T01:00:00-05:00
6/19/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-06-19 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-06-19T01:00:00-05:00
6/20/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-06-20 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-06-20T01:00:00-05:00
6/21/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-06-21 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-06-21T01:00:00-05:00
6/22/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-06-22 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-06-22T01:00:00-05:00
6/23/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-06-23 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-06-23T01:00:00-05:00
6/24/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-06-24 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-06-24T01:00:00-05:00
