episode_date,Weekday,audio_url,mysteries,title,publish_at
4/1/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-04-01 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-04-01T01:00:00-05:00
4/8/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-04-08 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-04-08T01:00:00-05:00
4/9/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-04-09 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-04-09T01:00:00-05:00
4/10/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-04-10 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-04-10T01:00:00-05:00
4/11/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-04-11 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-04-11T01:00:00-05:00
4/12/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-04-12 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-04-12T01:00:00-05:00
4/13/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-04-13 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-04-13T01:00:00-05:00
4/14/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-04-14 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-04-14T01:00:00-05:00
4/15/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-04-15 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-04-15T01:00:00-05:00
4/16/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-04-16 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-04-16T01:00:00-05:00
4/17/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-04-17 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-04-17T01:00:00-05:00
4/18/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-04-18 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-04-18T01:00:00-05:00
4/19/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-04-19 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-04-19T01:00:00-05:00
4/20/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-04-20 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-04-20T01:00:00-05:00
4/21/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-04-21 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-04-21T01:00:00-05:00
4/22/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-04-22 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-04-22T01:00:00-05:00
4/23/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-04-23 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-04-23T01:00:00-05:00
4/24/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-04-24 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-04-24T01:00:00-05:00
4/25/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-04-25 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-04-25T01:00:00-05:00
4/26/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-04-26 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-04-26T01:00:00-05:00
4/27/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-04-27 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-04-27T01:00:00-05:00
4/28/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-04-28 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-04-28T01:00:00-05:00
4/29/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-04-29 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-04-29T01:00:00-05:00
4/30/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-04-30 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-04-30T01:00:00-05:00
5/1/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-05-01 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-05-01T01:00:00-05:00
