episode_date,Weekday,audio_url,mysteries,title,publish_at
8/5/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-08-05 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-08-05T01:00:00-05:00
8/6/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-08-06 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-08-06T01:00:00-05:00
8/7/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-08-07 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-08-07T01:00:00-05:00
8/8/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-08-08 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-08-08T01:00:00-05:00
8/9/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-08-09 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-08-09T01:00:00-05:00
8/10/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-08-10 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-08-10T01:00:00-05:00
8/11/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-08-11 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-08-11T01:00:00-05:00
8/12/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-08-12 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-08-12T01:00:00-05:00
8/13/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-08-13 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-08-13T01:00:00-05:00
8/14/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-08-14 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-08-14T01:00:00-05:00
8/15/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-08-15 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-08-15T01:00:00-05:00
